#Angstrom	X	Y	Z
5209	0.08733428000000	0.73350180000000	0.05257277000000
5210	0.08821473000000	0.73515930000000	0.05215121000000
5211	0.08909988000000	0.73680630000000	0.05173262000000
5212	0.08998967000000	0.73844300000000	0.05131699000000
5213	0.09088406000000	0.74006950000000	0.05090428000000
5214	0.09178300000000	0.74168590000000	0.05049448000000
5215	0.09268645000000	0.74329240000000	0.05008757000000
5216	0.09359436000000	0.74488920000000	0.04968353000000
5217	0.09450669000000	0.74647640000000	0.04928234000000
5218	0.09542340000000	0.74805420000000	0.04888398000000
5219	0.09634445000000	0.74962270000000	0.04848842000000
5220	0.09726978000000	0.75118210000000	0.04809566000000
5221	0.09819937000000	0.75273260000000	0.04770566000000
5222	0.09913317000000	0.75427440000000	0.04731841000000
5223	0.10007110000000	0.75580750000000	0.04693390000000
5224	0.10101320000000	0.75733230000000	0.04655210000000
5225	0.10195940000000	0.75884880000000	0.04617299000000
5226	0.10290970000000	0.76035730000000	0.04579655000000
5227	0.10386390000000	0.76185790000000	0.04542278000000
5228	0.10482220000000	0.76335080000000	0.04505164000000
5229	0.10578430000000	0.76483620000000	0.04468312000000
5230	0.10675040000000	0.76631430000000	0.04431720000000
5231	0.10772040000000	0.76778520000000	0.04395387000000
5232	0.10869420000000	0.76924920000000	0.04359311000000
5233	0.10967180000000	0.77070650000000	0.04323489000000
5234	0.11065320000000	0.77215720000000	0.04287921000000
5235	0.11163840000000	0.77360160000000	0.04252604000000
5236	0.11262720000000	0.77503980000000	0.04217537000000
5237	0.11361980000000	0.77647210000000	0.04182719000000
5238	0.11461600000000	0.77789860000000	0.04148146000000
5239	0.11561580000000	0.77931960000000	0.04113819000000
5240	0.11661920000000	0.78073520000000	0.04079734000000
5241	0.11762630000000	0.78214580000000	0.04045891000000
5242	0.11863680000000	0.78355130000000	0.04012289000000
5243	0.11965090000000	0.78495220000000	0.03978924000000
5244	0.12066850000000	0.78634860000000	0.03945796000000
5245	0.12168960000000	0.78774070000000	0.03912903000000
5246	0.12271420000000	0.78912880000000	0.03880244000000
5247	0.12374220000000	0.79051300000000	0.03847817000000
5248	0.12477370000000	0.79189360000000	0.03815620000000
5249	0.12580850000000	0.79327080000000	0.03783652000000
5250	0.12684680000000	0.79464480000000	0.03751912000000
5251	0.12788840000000	0.79601590000000	0.03720398000000
5252	0.12893330000000	0.79738390000000	0.03689109000000
5253	0.12998150000000	0.79874870000000	0.03658045000000
5254	0.13103290000000	0.80011040000000	0.03627205000000
5255	0.13208750000000	0.80146870000000	0.03596590000000
5256	0.13314520000000	0.80282360000000	0.03566197000000
5257	0.13420600000000	0.80417510000000	0.03536027000000
5258	0.13526980000000	0.80552290000000	0.03506079000000
5259	0.13633650000000	0.80686710000000	0.03476352000000
5260	0.13740600000000	0.80820740000000	0.03446846000000
5261	0.13847840000000	0.80954390000000	0.03417560000000
5262	0.13955360000000	0.81087640000000	0.03388493000000
5263	0.14063150000000	0.81220490000000	0.03359645000000
5264	0.14171200000000	0.81352910000000	0.03331015000000
5265	0.14279510000000	0.81484910000000	0.03302601000000
